Company	Net Sales ($MM)	Employees (000)	Sales per Employee	Liabilities ($MM)	Assets ($MM)	Receivables ($MM)	Inventories ($MM)	Cash ($MM)	Cash+Short Term Invest	Gross Property	Net Property	Long-term Debt	Operating Income	Depreciation	Interest Exp	Income Taxes	Net Income
MEDSTRONG INTL CORP	0.278	0.004	69.5	0.935	0.159	0.001	0	0.024	0.024	0.071	0.036	0	-0.784	0.027	0.073	0	-0.884
MPSI SYSTEMS INC	10.825	0.067	161.5671642	3.362	3.51	1.135	0.142	0.892	0.892	3.181	0.363	0	0.433	0.323	0.064	-0.065	0.001
NAVISITE INC	62.755	0.367	170.9945504	46.798	55.379	12.576	0	3.862	3.862	42.499	16.291	7.907	-8.223	11.171	43.289	0	-69.52
NEOFORMA INC	11.053	0.261	42.348659	13.971	143.214	4.232	0	13.481	16.619	40.218	7.432	0	-50.973	13.885	1.039	0	-66.387
NETEASE.COM INC  -ADR	65.501	-99	-99	109.424	215.87	1.834	0	163.842	203.966	-99	4.882	100	41.498	2.016	0	2.553	39.01
NETSOLVE INC	45.925	0.293	156.7406143	3.884	57.962	4.696	0	19.885	40.328	18.191	6.212	0	1.778	3.156	0.009	-0.306	-0.641
NIC INC	50.831	0.29	175.2793103	22.576	85.739	17.872	0	13.54	19.152	10.711	2.992	0.207	8.979	1.641	0.02	1.185	6.328
NOVELL INC	1105.496	5.734	192.7966516	633.183	1567.653	232.492	0	366.932	751.852	539.339	255.526	0	77.975	61.058	-99	106.894	-161.904
ONESOURCE INFORMATION SVCS	57.284	0.264	216.9848485	41.852	60.563	16.705	0	22.794	22.794	14.136	4.612	1.528	6.339	2.627	0.083	1.528	2.547
ONLINE RESOURCES CORP	38.408	0.299	128.4548495	3.881	26.852	3.935	0	7.65	13.634	20.3	7.344	0.011	7.151	3.137	0.818	0.016	2.764
ONVIA.COM INC	9.991	0.123	81.22764228	15.681	39.866	0.343	0	22.728	30.382	14.803	2.169	0	-4.745	1.827	0	0	-7.913
PACIFICNET INC	1.217	0.65	1.872307692	5.261	7.173	1.89	0.076	3.823	4.035	4.942	0.466	0.526	-1.478	0.076	-99	0.032	-1.878
PAID INC	1.503	0.02	75.15	4.015	2.702	0.004	0.703	0.104	0.104	2.218	0.398	3.001	-2.787	0.519	0.409	0	-3.715
PAYMENT DATA SYSTEMS INC	0.119	0.007	17	0.725	0.938	0.044	0	0.528	0.528	0.784	0.215	0	-1.728	0.131	0.061	0	0.485
PEC SOLUTIONS INC	172.043	1.223	140.6729354	41.789	210.371	48.356	0	33.401	71.675	31.774	26.674	23.062	31.573	3.651	2.654	10.355	17.241
PEGASUS SOLUTIONS INC	172.73	1.32	130.8560606	137.904	366.56	22.298	0	58.983	63.029	158.252	75.474	75	34.778	28.029	1.552	-0.905	-1.832
PERFICIENT INC	30.192	0.147	205.3877551	4.244	20.26	5.535	0	1.989	1.989	2.839	0.699	0.436	3.382	1.281	0.286	0.755	1.05
PRICELINE.COM INC	863.661	0.293	2947.648464	175.207	337.784	10.782	0	93.732	267.953	75.542	16.524	124.524	19.365	11.533	0.907	0	11.916
PROQUEST CO	469.651	2.544	184.6112421	536.636	724.036	94.242	4.939	4.023	4.023	395.225	180.745	191	154.575	60.696	19.026	27.177	49.821
QUEPASA CORP	0.006	0.035	0.171428571	0.152	0.579	0.023	0	0.038	0.038	0.786	0.482	0.015	-2.614	0.271	0.003	0	-2.87
RAINDANCE COMMUNICATIONS INC	70.611	0.244	289.3893443	14.635	122.557	9.058	0	39.607	39.607	59.101	25.752	1.227	14.443	10.33	0.149	0	3.547
SAFE TECHNOLOGIES INTL	0.079	0.005	15.8	0.784	0.089	0.004	0	0.009	0.009	0.034	0.02	0	-0.252	0.057	0.08	0	-0.579
SAVVIS COMMUNICATIONS CORP	252.871	0.993	254.653575	125.55	124.623	11.305	0	28.173	28.173	295.958	59.357	56.587	-15.222	55.346	8.356	0	-94.033
SCORES HOLDING CO INC	1.45	0.001	1450	0.39	2.213	0.441	0.013	0	0	0.05	0.029	0.121	0.212	0.806	-99	0	-0.1
SILVERSTAR HOLDINGS LTD	3.141	0.027	116.3333333	2.329	12.354	0.266	0.168	0.782	1.618	0.396	0.14	0.034	-1.18	0.135	0.012	0	0.069
SINA CORP	114.285	0.785	145.5859873	130.39	289.897	17.606	0	153.149	227.164	22.365	8.646	100	44.806	6.862	0.341	0.895	31.423
SKYLYNX COMMUNICATIONS INC	0.418	0.004	104.5	0.43	0.55	0.028	0	0.021	0.021	0.128	0.075	0	-0.828	0.043	0	0	-0.871
SM&A CORP	75.593	0.315	239.9777778	7.37	31.803	12.178	0	17.712	17.712	1.222	0.723	0	20.005	0.274	-99	6.536	13.268
SOHU.COM INC	80.425	1.016	79.15846457	113.416	205.055	12.381	0	99.109	128.354	18.588	6.846	90	36.938	4.917	-99	6.65	26.357
SPORTSLINE.COM INC	57.668	0.264	218.4393939	52.001	75.6	13.856	0	2.485	19.428	36.723	5.563	16.661	-28.896	4.367	0.952	0	-38.569
SPORTSNUTS INC	0.659	0.01	65.9	2.979	0.33	0.023	0	0.053	0.053	1.502	0.095	0	-0.323	0.044	0.115	0	-0.41
