Date	Percentage Change Apple	Percentage Change McDonalds	Percentage Change Disney	Percentage Change Microsoft	Percentage Change IBM	Percentage Change Exxon	Apple & McDonalds
20100909	0.057	-2.2476	0.7092	0.3343	0.2221	0.4938	-1.67145
20100910	0.1292	0.8606	0.2054	-0.6664	1.29	0.2457	0.67775
20100913	1.3781	-0.5866	0.3514	5.283	1.2657	-0.3268	-0.095425
20100914	0.382	-0.8448	-0.642	-0.3186	-0.5864	0.0164	-0.5381
20100915	0.8058	1.0414	0.4699	0.3396	0.4501	-0.0164	0.9825
20100916	2.3499	0.1205	-0.1169	0.8561	0.1854	-0.0492	0.67785
20100917	-0.4339	-0.6417	1.1414	-0.4343	0.401	-0.3116	-0.58975
20100920	2.8543	1.063	0.9838	0.8327	1.229	1.2669	1.510825
20100921	0.1907	0.5326	-1.1461	-1.1011	0.1442	-0.0162	0.447125
20100922	1.4025	-0.5033	-1.4783	-2.1471	0.447	-0.1462	-0.02685
20100923	0.4066	-0.6522	-2.5596	-0.7314	-0.6789	-0.4882	-0.3875
20100924	1.1768	0.6163	1.3889	1.4122	1.8531	0.9812	0.756425
20100927	-0.3955	-0.4527	-0.8636	-0.1715	0.4026	-0.0648	-0.4384
20100928	-1.4782	-0.1739	-0.2103	-0.2224	0.1782	0.5672	-0.499975
20100929	0.1778	-0.2412	-0.6322	-0.7193	0.4374	-0.7573	-0.13645
20100930	-1.2597	0.0806	0.2726	-0.0408	-0.9891	0.3247	-0.254475
20101001	-0.4335	0.5503	0.7251	-0.4492	1.1182	1.2138	0.30435
20101004	-1.3733	0.04	-0.5999	-1.9278	-0.2875	-0.5596	-0.313325
20101005	3.6965	1.1608	2.0821	1.8402	1.7819	1.7205	1.794725
20101006	0.0865	-0.3429	-0.3252	0.3285	0.1308	1.0749	-0.23555
20101007	0.0104	0.397	0.5635	0.4093	0.6384	-0.1408	0.30035
20101008	1.6769	0.3164	1.7694	0.1631	0.0937	0.8301	0.656525
20101011	0.4387	-0.6702	0.1739	0.0814	0.5834	0.2641	-0.392975
20101012	1.0767	-0.0132	-0.2603	0.976	0.136	0.2324	0.259275
20101013	0.5359	0.2249	1.2471	2.054	0.3718	0.5255	0.30265
20101014	0.723	1.703	-0.1719	-0.4341	0.805	0.3998	1.458
20101015	4.1117	0.5711	0.0861	1.2287	-0.311	-0.1685	1.45625
20101018	1.0358	-0.2065	-0.3727	1.0963	1.2548	1.672	0.104075
20101019	-2.6761	-0.4268	-1.4676	-2.7885	-3.3606	-1.7501	-0.989125
20101020	0.336	0.5455	1.1098	0.8366	0.7535	1.3667	0.493125
20101021	-0.3253	1.3306	0.1733	0.4346	0.5465	0.4696	0.916625
20101022	-0.6623	0.1402	0.8362	-0.1672	-0.1144	0.0302	-0.060425
20101025	0.4456	0.191	1.4012	-0.7388	0.1217	-0.211	0.25465
20101026	-0.2558	0.0762	1.41	2.8186	0.5935	0.4985	-0.0068
20101027	-0.0714	-1.6252	-0.1112	0.5791	0.5403	-1.2927	-1.23675
20101028	-0.8414	0	1.6425	0.8829	-0.3747	0.8375	-0.21035
20101029	-1.3956	0.3743	-1.0545	1.465	1.9163	0.4077	-0.068175
20101101	1.0632	0.1414	-0.263	1.0688	-0.195	0.6918	0.37185
20101102	1.7029	0.6677	0.222	1.6326	0.3628	1.3293	0.9265
20101103	1.112	0.1275	0.4985	-1.3143	0.2294	0.1916	0.373625
20101104	1.7487	0.8662	2.0391	0.407	1.8173	2.0744	1.086825
20101105	-0.3582	0.1516	0.4591	-1.0685	0.0886	0.8936	0.02415
20101108	0.4698	0.0126	-0.3763	-0.149	0.1293	0.4571	0.1269
20101109	-0.7972	-0.2648	-0.5397	0.5222	-0.2185	1.0665	-0.3979
20101110	0.6169	0.5057	0.3527	-0.0371	0.2806	0.7079	0.5335
20101111	-0.4323	0.2516	-2.8724	-0.9651	-0.7643	0.9841	0.080625
20101112	-2.7238	-1.0665	5.0727	-1.5367	-1.1621	-1.1694	-1.480825
20101115	-0.323	0.279	-1.3245	-0.2665	-0.0696	-0.7184	0.1285
